Molecule ChEMBL ID,Smiles,pChEMBL Value,Comment
CHEMBL2393231,CNc1nc(N2CCN(C)CC2)nc2c1CCNCC2.Cl,5.92,
CHEMBL2397906,O=C1c2cccc(C(F)(F)F)c2C[C@@H]2CNCCN12,,Not Determined
CHEMBL2397903,N#Cc1ccc2c(c1)C[C@@H]1CNCCN1C2=O,,
CHEMBL2397899,CCCc1ccc2c(c1)C[C@@H]1CNCCN1C2=O,,
CHEMBL2397898,CCc1ccc2c(c1)C[C@@H]1CNCCN1C2=O,,
CHEMBL80482,C[C@H](N)CN1CCc2ccc3c(c21)CCCO3,6.9,
CHEMBL475641,Cc1ccc([C@H]2C[C@@H]2CN)c(Br)c1.Cl,6.33,
CHEMBL4786831,CC(C)Oc1ccc2occc2c1[C@@H]1C[C@H]1CN.Cl,6.03,
CHEMBL3769499,C=CCOc1ccc(F)c(F)c1C1CC1CN.Cl,,Not Active
CHEMBL3770011,Cl.NCC1CC1c1c(OCCF)ccc(Cl)c1Cl,,Not Active
CHEMBL3769968,C=CCOc1cc(F)c(F)cc1C1CC1CN.Cl,6.31,
CHEMBL3770599,Cl.NCC1CC1c1c(OCCF)ccc(F)c1F,,Not Active
CHEMBL478,Clc1cccc(N2CCNCC2)c1,6.78,
CHEMBL572252,C[C@@H](COc1ccccc1Cl)n1nc(N2CCNCC2)ccc1=O,7.19,
CHEMBL2331800,CCn1oc2c(c1=O)CNCC2,,
CHEMBL2331794,c1ccc(COc2noc3c2CCNCC3)cc1,6.62,
CHEMBL2331793,CCOc1noc2c1CCNCC2,5.1,
CHEMBL2331801,O=c1c2c(on1Cc1ccccc1)CCNC2,,
CHEMBL309689,Oc1noc2c1CCNCC2,,
CHEMBL450178,C#Cc1cccc([C@H]2C[C@@H]2CN)c1.Cl,,
CHEMBL1091106,CC1(C)CCC(Oc2cc(F)c(CNC(=O)[C@@H]3CCCN3)cc2F)CC1,6.89,
CHEMBL5209080,COc1ccccc1C1NCCc2c1[nH]c1ccc(Cl)cc21.Cl,6.68,
CHEMBL5179287,Cc1ccc(C2NCCc3c2[nH]c2ccc(Cl)cc32)c(C)c1.Cl,6.25,
CHEMBL5187568,Cl.Oc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1O,6.98,
CHEMBL5188736,Cl.Oc1ccc(C2NCCc3c2[nH]c2ccc(O)cc32)cc1,6.8,
CHEMBL5200288,Cc1ccc(C2NCCc3c2[nH]c2ccc(O)cc32)cc1.Cl,6.5,
CHEMBL5208018,Cl.Oc1ccc2[nH]c3c(c2c1)CCNC3c1cc(F)ccc1O,6.66,
CHEMBL4790446,Cl.Clc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1Cl,7.89,
CHEMBL5207633,Cc1ccc(C2NCCc3c2[nH]c2ccc(F)cc32)cc1.Cl,6.68,
CHEMBL5188655,Cl.Fc1ccc2[nH]c3c(c2c1)CCNC3c1cccnc1F,6.41,
CHEMBL5178562,COc1ccc2cc(C3NCCc4c3[nH]c3ccc(Cl)cc43)ccc2c1.Cl,5.88,
CHEMBL5205884,Cl.Fc1ccc2[nH]c3c(c2c1)CCNC3C(c1ccccc1)c1ccccc1,5.72,
CHEMBL2397910,Cc1cc(C)c2c(c1)C[C@@H]1CNCCN1C2=O,5.98,
CHEMBL2397902,COc1ccc2c(c1)C[C@@H]1CNCCN1C2=O,,
CHEMBL2397884,CN1CCN2C(=O)c3ccccc3C[C@@H]2C1,,
CHEMBL3330642,Cc1ccc2c(CCN)c[nH]c2c1,7.12,
CHEMBL1906905,CC(N)Cc1c[nH]c2ccc(Cl)cc12,8.2,
CHEMBL96816,CC(N)Cc1c[nH]c2ccc(F)cc12,8.07,
CHEMBL4753812,C=C(C)COc1ccc2occc2c1[C@H]1C[C@@H]1CN.Cl,6.58,
CHEMBL353998,Cc1c(CCN)c2cc(F)cc3c2n1C(C)CC3,,Not Determined
CHEMBL220207,CSc1cccc2c1C(=O)N1CCNCC21,6.96,Agonist
CHEMBL201897,C[C@H](N)Cn1ccc2ccc3ccncc3c21,6.33,
CHEMBL376456,COc1cccc2c1C(=O)N1CCNCC21,,
CHEMBL223896,O=C1c2c(Cl)cccc2C2CNCCN12,5.75,Agonist
CHEMBL220789,CC1(C)CN2C(=O)c3c(cccc3C(F)(F)F)[C@@H]2CN1,,
CHEMBL220115,C#Cc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,,Not Determined
CHEMBL275628,NCCc1c[nH]c2ccc(F)cc12,8.58,
CHEMBL3771152,C=CCOc1cc(Cl)c(Cl)cc1C1CC1CN.Cl,6.78,
CHEMBL4787862,CCc1cc2c([C@@H]3C[C@H]3CN)c(OCC3CC3)ccc2o1.Cl,,Not Active
CHEMBL4762722,C=C(C)COc1ccc2occc2c1[C@@H]1C[C@H]1CN.Cl,,Not Active
CHEMBL4789175,CCc1cc2c([C@@H]3C[C@H]3CN)c(OC)ccc2o1.Cl,,Not Active
CHEMBL373402,C[C@H]1CN2C(=O)c3c(cccc3C(F)(F)F)[C@@H]2CN1,,
CHEMBL2113264,CC(C)[C@H]1CNC[C@H]2c3cccc(C(F)(F)F)c3C(=O)N12,7.25,Agonist
CHEMBL373905,CCCc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,,
CHEMBL493130,Cl.NC[C@H]1C[C@@H]1c1ccc(F)cc1,6.29,
CHEMBL474633,Cc1cc([C@H]2C[C@@H]2CN)ccc1F.Cl,6.63,
CHEMBL4208452,Fc1cccc(Cc2ccnc3c2CC[C@@H]2CNCCN32)c1,7.43,
CHEMBL492926,Cl.NC[C@H]1C[C@@H]1c1cccc(F)c1,6.36,
CHEMBL4878689,[2H]C([2H])([2H])N(C([2H])([2H])[2H])C([2H])([2H])C([2H])([2H])c1c[nH]c2cccc(OC(=O)CCCCCCCC/C=C\C/C=C\CCCCC)c12,6.02,
CHEMBL3736156,CB1C=Cc2c(cccc2OCC(O)CN(C)C)N1,,
CHEMBL5432445,NC[C@@H]1C[C@@H]1c1cc(F)ccc1OCC1CC1,6.05,
CHEMBL2337503,Cc1cc(C)c2c(c1)[C@H]1CNC[C@@H]1NC2=O.Cl,6.52,
CHEMBL469668,CN1CCN(C[C@H](c2cccc(OC(F)(F)F)c2)C2(O)CCCCC2)CC1.Cl.Cl,,
CHEMBL3416063,C=CCOc1ccc(F)cc1[C@H]1C[C@@H]1CN.Cl,6.43,
CHEMBL3416066,Cl.NC[C@@H]1C[C@H]1c1cc(F)ccc1OCCF,5.52,
CHEMBL3912463,C[C@@H](N)CC#Cc1ccccc1,,
CHEMBL4090984,COc1ccc(F)cc1C1CC1CNC1CC1.Cl,5.96,
CHEMBL4103313,COc1ccc(F)cc1C1CC1CNCc1sccc1OC.Cl,6.83,
CHEMBL4073529,COc1ccc(F)cc1C1CC1CNCc1cccc2ccsc12.Cl,5.65,
CHEMBL4091672,COc1ccccc1CNC[C@H]1C[C@@H]1c1cc(F)ccc1OCCF.Cl,7.62,
CHEMBL209155,FC(F)(F)c1cccc([C@H]2CC[C@H]3CNC[C@H]32)c1,5.97,
CHEMBL367796,CC1CNCCc2ccccc21,5.8,
CHEMBL2337499,CCc1ccc(Cl)c2c1[C@H]1CNC[C@@H]1NC2=O.Cl,5.78,
CHEMBL594717,Cc1ccc(F)cc1CO[C@H]1CCc2ccc(N3CCNC[C@H]3C)nc21,6.2,
CHEMBL595195,Clc1ccccc1OC1CCc2ccc(N3CCNCC3)nc21,6.63,
CHEMBL590580,Cc1cccc2c1C(=O)NC1CCNCCN21,7.16,
CHEMBL2397901,O=C1c2ccc(Cl)cc2C[C@@H]2CNCCN12,,
CHEMBL263881,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,8.29,
CHEMBL4764937,Cl.Clc1ccc2[nH]c3c(c2c1)CCNC3C1CCCCC1,6.53,
CHEMBL5195443,COc1ccc(OC)c(C2NCCc3c2[nH]c2ccc(Cl)cc32)c1.Cl,5.74,
CHEMBL5177718,Cc1ccc(O)c(C2NCCc3c2[nH]c2ccc(F)cc32)c1.Cl,5.91,
CHEMBL172159,NCCc1cn2c3c(cc(Cl)cc13)SCC2,6.46,
CHEMBL475642,Cc1cccc([C@H]2C[C@@H]2CN)c1C.Cl,6.44,
CHEMBL5413973,NC[C@@H]1C[C@@H]1c1cc(O)ccc1OCC1CC1,6.43,
CHEMBL500093,Cl.NCC1CC1c1ccccc1,5.85,
CHEMBL5400876,c1ccc(N2CCN(CCCc3nc4ccccc4s3)CC2)nc1,,
CHEMBL4563408,O=C(Nc1ccc(OC(F)F)nc1)NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1,,
CHEMBL4575163,COc1ccccc1CNC[C@H]1C[C@]1(F)c1ccccc1.Cl,6.5,
CHEMBL360328,C[C@H]1CNCCc2ccc(Cl)cc21,6.21,
CHEMBL5405688,COc1ccc2[nH]nc(CCN(C)C)c2c1,6.69,
CHEMBL5204071,COc1ccc(C2NCCc3c2[nH]c2ccc(F)cc32)c(O)c1,8.49,
CHEMBL5183493,Cl.Oc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1C(F)(F)F,6.92,
CHEMBL5198213,COc1ccc(C2NCCc3c2[nH]c2ccc(O)cc32)c(O)c1,9.31,
CHEMBL5187568,Cl.Oc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1O,6.97,
CHEMBL5183463,Cl.Oc1ccc2[nH]c3c(c2c1)CCNC3C1CCCCC1,6.55,
CHEMBL5183544,Cc1noc(C)c1C1NCCc2c1[nH]c1ccc(Cl)cc21.Cl,6.29,
CHEMBL5188678,Cc1noc(C)c1C1NCCc2c1[nH]c1ccc(F)cc21.Cl,6.62,
CHEMBL5208963,Cl.Fc1ccc2[nH]c3c(c2c1)CCNC3C1CCOCC1,6.45,
CHEMBL5192627,COc1ccc(C2NCCc3c2[nH]c2ccc(F)cc32)c(OC)c1.Cl,6.78,
CHEMBL220900,O=C1c2c(ccc(Cl)c2Cl)[C@@H]2CNCCN12,,
CHEMBL220833,CC1(c2cc3c(c(C(F)(F)F)c2)C(=O)N2CCNC[C@@H]32)CC1,,
CHEMBL594469,Fc1ccc(F)c(CO[C@H]2CCc3ccc(N4CCNCC4)nc32)c1,5.82,
CHEMBL478834,CCOC(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,,
CHEMBL5416604,Clc1ccc2[nH]nc(C3=CCCNC3)c2c1,7.28,
CHEMBL2337488,CCc1cc2c(c(C(F)(F)F)c1)C(=O)N(C)[C@H]1CNC[C@H]21.Cl,5.68,
CHEMBL254215,C[C@@H]1CNCCc2ccc(C(F)(F)F)cc21,7,
CHEMBL5434434,COc1ccc2[nH]nc(C3=CCCNC3)c2c1,7.75,
CHEMBL5179053,Cl.Cn1ccnc1C1NCCc2c1[nH]c1ccc(O)cc21,7.1,
CHEMBL5205884,Cl.Fc1ccc2[nH]c3c(c2c1)CCNC3C(c1ccccc1)c1ccccc1,5.72,
CHEMBL4752798,Cl.Oc1ccccc1C1NCCc2c1[nH]c1ccc(Cl)cc21,7.29,
CHEMBL5174331,Cl.Clc1ccc2[nH]c3c(c2c1)CCNC3c1ccc(Cl)s1,6.75,
CHEMBL4757837,Cl.Clc1ccc2[nH]c3c(c2c1)CCNC3c1ccc2ccccc2c1,7.82,
CHEMBL5177505,Cl.Clc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1Br,6.39,
CHEMBL5179588,Cl.Oc1ccccc1C1NCCc2c1[nH]c1ccc(F)cc21,7.58,
CHEMBL4764937,Cl.Clc1ccc2[nH]c3c(c2c1)CCNC3C1CCCCC1,6.53,
CHEMBL182184,COc1cc2c(cc1Br)[C@H](C)CNCC2,7.52,
CHEMBL398926,CC1(C)CNCCc2ccc(Cl)cc21,5.8,
CHEMBL181672,CC1CNCCc2cc(Cl)ccc21,6.8,
CHEMBL4094164,COc1ccc(F)cc1C1CC1CNCc1cccnc1OC,5.89,
CHEMBL4103313,COc1ccc(F)cc1C1CC1CNCc1sccc1OC.Cl,6.83,
CHEMBL4079976,COc1ccccc1CN(C)CC1CC1c1cc(F)ccc1OC.Cl,5.6,
CHEMBL4094054,COc1ccc(F)cc1C1CC1CNCc1ccccc1C(N)=O.Cl,5.88,
CHEMBL4083787,COc1ccc(F)cc1[C@@H]1C[C@H]1CNCc1ccccc1Cl.Cl,5.52,
CHEMBL4091197,COc1ccc(F)cc1C1CC1CNCc1ccsc1OC.Cl,6.33,
CHEMBL269521,Clc1cncc(N2CCNCC2)n1,6.37,
CHEMBL178231,CC1CNCCc2ccc(Cl)c(Cl)c21,6.7,
CHEMBL6557,Cn1c2c(c3ccccc31)CCNCC2,6.68,
CHEMBL469729,Cl.NC[C@H]1C[C@@H]1c1ccc(Cl)cc1,5.35,
CHEMBL201930,C[C@H](N)Cn1ccc2ccc3ncccc3c21,7.5,
CHEMBL5208018,Cl.Oc1ccc2[nH]c3c(c2c1)CCNC3c1cc(F)ccc1O,6.67,
CHEMBL5180800,Fc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1,7.05,
CHEMBL3589598,COc1cc(CCNCc2cccc(O)c2)c(OC)cc1Br,7.31,
CHEMBL452719,Cl.NC[C@H]1C[C@@H]1c1ccccc1,5.86,
CHEMBL5278577,COc1cc(CC2CCCC(c3ccccc3O)N2)c(OC)cc1C#N,5.57,
CHEMBL5278577,COc1cc(CC2CCCC(c3ccccc3O)N2)c(OC)cc1C#N,5.45,
CHEMBL80731,CCSc1cc2c(cc1F)CCN2C[C@H](C)N,6.74,
CHEMBL5437921,CN1CCC=C(c2n[nH]c3c(Cl)ccc(F)c23)C1,7.62,
CHEMBL5405349,COc1cccc2[nH]cc(C3=CCCN(C)C3)c12,7.21,
CHEMBL5394639,COc1cccc2[nH]nc(C3=CCCNC3)c12,6.96,
CHEMBL5399727,Fc1ccc2[nH]nc(C3=CCCNC3)c2c1,7.16,
CHEMBL269521,Clc1cncc(N2CCNCC2)n1,5.92,
CHEMBL2393245,Cl.Clc1cccc(Nc2nc(Cc3ccccc3)nc3c2CCNCC3)c1,8.19,
CHEMBL590531,Cc1ccc2c(c1)N1CCNCCC1NC2=O,6.02,
CHEMBL590089,Cc1ccc2c(c1)C(=O)NC1CNCCN21,,
CHEMBL77880,C[C@H](N)CN1CCc2ccc3c(c21)CCO3,7.21,
CHEMBL4778104,c1cc(C2CC2)c2c(n1)N1CCNC[C@H]1CC2,6.4,
CHEMBL4066538,COc1ccccc1C(C)NCC1CC1c1cc(F)ccc1OC.Cl,6.62,
CHEMBL4102683,COc1ccc(F)cc1C1CC1CNCc1ccccc1O.Cl,7.11,
CHEMBL360328,C[C@H]1CNCCc2ccc(Cl)cc21,6.61,
CHEMBL4093447,COc1cccc(CNC[C@@H]2C[C@H]2c2cc(F)ccc2OC)c1.Cl,5.17,
CHEMBL4094054,COc1ccc(F)cc1C1CC1CNCc1ccccc1C(N)=O.Cl,5.88,
CHEMBL4091448,COCCN(C)C(=O)c1sc(-c2cccc3ccccc23)nc1C,,
CHEMBL4083671,Cc1nc(-c2cccc3ccccc23)sc1C(=O)N(C)CCO,,
CHEMBL4100812,Cc1cc(-c2cccc3ccccc23)sc1C(=O)N1CCC(CO)CC1,,
CHEMBL4078339,CCn1nc(-c2cccc3ccccc23)cc1-c1nnnn1C,,
CHEMBL4063893,C=CCOc1ccc(F)cc1[C@H]1C[C@@H]1CNCc1ccccc1OC.Cl,7.56,
CHEMBL4791279,c1cc2c(cn1)CC[C@@H]1CNCCN21,,
CHEMBL407909,CCc1cc2c(ccc3cnn(C[C@H](C)N)c32)o1,7.03,
CHEMBL272942,Cc1cc(Cl)ccc1OC(C)C(=O)O,6.82,
CHEMBL605402,O=C1NC2CNCCN2c2cccc(Cl)c21,,
CHEMBL368016,CC1CNCCc2ccc(Cl)c(F)c21,6.1,
CHEMBL76781,C[C@H](N)Cn1ccc2cc(F)c(Cl)cc21,6.88,
CHEMBL5440436,Fc1ccc(Cl)c2[nH]nc(C3=CCCNC3)c12,8.14,
CHEMBL5394639,COc1cccc2[nH]nc(C3=CCCNC3)c12,7.9,
CHEMBL4764271,CCCOc1ccc2occc2c1[C@@H]1C[C@H]1CN.Cl,,Not Active
CHEMBL4752976,Cl.NC[C@H]1C[C@@H]1c1c(OCCF)ccc2c1CCO2,5.63,
CHEMBL4756903,CCOc1ccc2occc2c1[C@H]1C[C@@H]1CN.Cl,6.96,
CHEMBL5429252,COc1ccc2c(c1)c(CCN(C)C)nn2C,,
CHEMBL179329,COc1cc2c(cc1Br)C(C(C)C)CNCC2,,Not Active
CHEMBL572228,Clc1ccccc1CCOc1cncc(N2CCNCC2)n1,6.51,
CHEMBL253809,CC[C@H]1CNCCc2ccc(Cl)cc21,6.6,
CHEMBL493129,COc1cccc([C@H]2C[C@@H]2CN)c1.Cl,6.21,
CHEMBL5205718,[2H]C1([2H])CC(c2c[nH]c3cccc(O)c23)C([2H])([2H])N1C,,
CHEMBL4790446,Cl.Clc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1Cl,7.89,
CHEMBL5177505,Cl.Clc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1Br,6.39,
CHEMBL5186877,Clc1ccc2[nH]c3c(c2c1)CCNC3c1cccs1,6.14,
CHEMBL5184146,[2H]C([2H])(c1c[nH]c2cccc(O)c12)[C@H]1CCCN1C([2H])([2H])[2H],,
CHEMBL5197725,[2H]C([2H])(c1c[nH]c2cccc(O)c12)[C@@H]1CCCN1,,
CHEMBL589769,Cn1ncc(Br)c1-c1cccc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)c1,6.92,
CHEMBL4090579,O=C(c1csc(-c2cccc(F)c2Cl)n1)N1CCOCC1,,
CHEMBL4093102,Cc1cc(-c2cccc3ccccc23)oc1C(=O)N1CCC(CO)CC1,,
CHEMBL4100745,Cn1nc(-c2cccc3ccccc23)cc1-c1cccnn1,,
CHEMBL4067525,COc1cccc(CNC[C@H]2C[C@@H]2c2cc(F)ccc2OC)c1.Cl,5.43,
CHEMBL4098721,C=CCOc1ccc(F)cc1[C@H]1C[C@@H]1CNC.Cl,6.55,
CHEMBL4095562,COc1ccc(F)cc1[C@@H]1C[C@H]1CNCc1cccs1.Cl,6.17,
CHEMBL4066538,COc1ccccc1C(C)NCC1CC1c1cc(F)ccc1OC.Cl,6.62,
CHEMBL4104218,COc1ccc(F)cc1[C@H]1C[C@@H]1CNCc1ccccc1Cl.Cl,5.45,
CHEMBL4073406,COc1ccc(F)cc1[C@@H]1C[C@H]1CNCc1ccccc1F.Cl,5.73,
CHEMBL5184885,Cl.Fc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1Br,7.01,
CHEMBL4749189,Cc1ccc(C2NCCc3c2[nH]c2ccc(Cl)cc32)cc1.Cl,6.52,
CHEMBL5201835,Cl.Oc1cc(Br)ccc1C1NCCc2c1[nH]c1ccc(Cl)cc21,6.27,
CHEMBL5204071,COc1ccc(C2NCCc3c2[nH]c2ccc(F)cc32)c(O)c1,8.5,
CHEMBL269521,Clc1cncc(N2CCNCC2)n1,6.38,
CHEMBL595553,Clc1ccccc1O[C@@H]1CCc2ccc(N3CCNCC3)nc21,5.88,
CHEMBL593547,c1cc2c(nc1N1CCNCC1)CCCC2,5.66,
CHEMBL506727,Cl.NC[C@H]1C[C@@H]1c1cccc(Br)c1,5.78,
CHEMBL223584,O=C1c2c(cccc2C(F)(F)F)[C@H]2CNCCN12,,
CHEMBL219837,C[C@@H]1NCCN2C(=O)c3c(cccc3C(F)(F)F)[C@H]12,7.11,Agonist
CHEMBL5182943,COc1cc(OC)c(C2NCCc3c2[nH]c2ccc(F)cc32)cc1OC.Cl,7.4,
CHEMBL385577,COc1c(Cl)ccc2c1C(=O)N1CCNC[C@@H]21,6.06,Agonist
CHEMBL373531,COc1ccc(Cl)c2c1[C@@H]1CNCCN1C2=O,6.66,Agonist
CHEMBL590078,Cc1cccc2c1C(=O)NC1CNCCN21,,
CHEMBL360328,C[C@H]1CNCCc2ccc(Cl)cc21,6.61,
CHEMBL492305,Cl.NC[C@H]1C[C@@H]1c1cccc(F)c1F,,
CHEMBL3769987,COc1ccc(Cl)c(F)c1C1CC1CN.Cl,7.17,
CHEMBL3769987,COc1ccc(Cl)c(F)c1C1CC1CN.Cl,6.67,
CHEMBL3771152,C=CCOc1cc(Cl)c(Cl)cc1C1CC1CN.Cl,,Not Active
CHEMBL3770862,Cl.NCC1CC1c1c(OCCF)ccc(F)c1Cl,6.1,
CHEMBL376455,O=C1c2ccccc2C2CNCCN12,,
CHEMBL374659,O=C1c2c(cc(CO)cc2C(F)(F)F)[C@@H]2CNCCN12,,Not Determined
CHEMBL89738,c1cc2c3c(c1)c1c(n3CCNC2)CCCCCC1,4.19,
CHEMBL2337490,Cl.O=C1N[C@H]2CNC[C@@H]2c2cccc(C(F)(F)F)c21,7.2,
CHEMBL2331802,O=c1c2c(on1Cc1ccccc1)CCCNC2,,
CHEMBL2331797,CCn1oc2c(c1=O)CCNC2,,
CHEMBL2331796,CCOc1noc2c1CCN(C)CC2,,
CHEMBL2331797,CCn1oc2c(c1=O)CCNC2,,
CHEMBL2331791,CCn1oc2c(c1=O)CCN(C)CC2,,
CHEMBL2331808,CN1CCc2on(C)c(=O)c2CC1,,
CHEMBL2331807,O=c1c2c(on1Cc1ccccc1)CCNCC2,5.62,
CHEMBL3416067,Cl.NC[C@H]1C[C@@H]1c1cc(F)ccc1OCCF,6.45,
CHEMBL4062613,O=C(c1csc(-c2cccc(Cl)c2F)n1)N1CCOCC1,,
CHEMBL4105011,O=C(c1cnc(-c2cccc(Cl)c2Cl)s1)N1CCOCC1,,
CHEMBL4072337,Cn1cc(-c2cccc3ccccc23)cc1C(=O)N1CCC(CO)CC1,,
CHEMBL4103426,Cc1cn(-c2cccc3ccccc23)cc1C(=O)N1CCC(CO)CC1,,
CHEMBL4095663,Cc1nn(-c2cccc3ccccc23)cc1C(=O)N1CCC(CO)CC1,,
CHEMBL4206126,FC(F)(F)CCc1ccnc2c1CC[C@@H]1CNCCN21,6,
CHEMBL3416062,C=CCOc1ccc(F)cc1[C@@H]1C[C@H]1CN.Cl,6.16,
CHEMBL4064423,Cc1nc(-c2cccc3ccccc23)sc1C(=O)N1CCN(C)CC1,,
CHEMBL4098357,Cc1nc(-c2cccc3ccccc23)sc1C(=O)N1CCc2[nH]cnc2C1,,
CHEMBL4092473,CCn1nc(-c2nccc3ccccc23)cc1-c1cccnn1,,
CHEMBL3912721,c1cc(CC2CCC2)c2c(c1)N1CCNCC1CC2,5.7,
CHEMBL2094028,Cl.NC[C@H]1C[C@]1(F)c1ccccc1,8.01,
CHEMBL4466591,Cl.NC[C@H]1C[C@]1(F)c1cccc(F)c1,8.52,
CHEMBL4457840,Cl.NCC1C(c2ccccc2)C1(F)F,5.43,
CHEMBL4646317,c1cc2c3c(c1)CNCCN3CCC2,,
CHEMBL4639054,CC(C)Cc1ccc2c3c1CCN3CCNC2,,
CHEMBL4636494,c1cc(C2CC2)c2c3c1CNCCN3CC2,,
CHEMBL4638761,CC1CN2CC(C)(C)c3cccc(c32)CN1,,
CHEMBL4637882,CC1(C)CN2CCNCc3ccc(F)c1c32,,
CHEMBL492916,Cl.NCC1CC1c1ccccc1Br,7.03,
CHEMBL2397900,O=C1c2ccc(C(F)(F)F)cc2C[C@@H]2CNCCN12,,
CHEMBL2397895,N#Cc1cccc2c1C(=O)N1CCNC[C@H]1C2,,
CHEMBL2397889,Cc1cccc2c1C(=O)N1CCNC[C@H]1C2,7.19,
CHEMBL3416053,C=C(C)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN.Cl,6.04,
CHEMBL4646618,Cc1ccc2c3c1C(C)CN3CCNC2,6.16,
CHEMBL4636977,CC1(C)CN2CCNCc3ccc(Br)c1c32,,
CHEMBL210484,C[C@@H]1C[C@H]2CNC[C@H]2N1c1nccc(C(F)(F)F)n1,7.6,
CHEMBL223090,N#Cc1cccc2c1C(=O)N1CCNCC21,,
CHEMBL375170,O=C1c2c(cc(C3CC3)cc2C(F)(F)F)[C@@H]2CNCCN12,6.29,Agonist
CHEMBL4064770,CCn1nc(-c2cncc3ccccc23)cc1-c1cccnn1,,
CHEMBL4084723,CCn1nc(-c2ccnc3ccccc23)cc1-c1cccnn1,,
CHEMBL4102653,CCn1nc(-c2cccc3ncccc23)cc1-c1cccnn1,,
CHEMBL4083752,CCn1nc(-c2cccc3ccncc23)cc1-c1cccnn1,,
CHEMBL4081247,CCn1nc(-c2cccc3cccnc23)cc1-c1ccc(N)nn1,6.2,
CHEMBL4069354,O=C(c1nnn(-c2cccc3ccccc23)n1)N1CCC(CO)CC1,,
